

Threshold (S, V) : (2, 10)
The Last V Value is : 32.045
The Last V Value is : 30.4599
The Last V Value is : 30.7541
The Last V Value is : 34.172
The Last V Value is : 30.8065
The Last V Value is : 27.7861
The Last V Value is : 27.5655
The Last V Value is : 31.8306
The Last V Value is : 28.9536
The Last V Value is : 28.6076
The Last V Value is : 27.429
The Last V Value is : 25.7766
The Last V Value is : 31.5884
The Last V Value is : 29.837
The Last V Value is : 31.8569
The Last V Value is : 28.628
The Last V Value is : 32.1726
The Last V Value is : 27.0643
The Last V Value is : 26.0934
The Last V Value is : 31.9536
The Last V Value is : 30.1897
The Last V Value is : 31.4892
The Last V Value is : 25.5511
The Last V Value is : 28.1614
The Last V Value is : 29.9258
The Last V Value is : 31.0485
The Last V Value is : 28.4029
The Last V Value is : 30.8309
The Last V Value is : 30.6992
The Last V Value is : 27.7128
The Last V Value is : 31.6984
The Last V Value is : 30.0589
The Last V Value is : 31.6291
The Last V Value is : 31.3627
The Last V Value is : 33.3223
The Last V Value is : 31.0083
The Last V Value is : 29.7933
The Last V Value is : 26.9648
The Last V Value is : 27.6894
The Last V Value is : 30.3749
The Last V Value is : 27.9023
The Last V Value is : 28.1814
The Last V Value is : 32.6357
The Last V Value is : 29.4837
The Last V Value is : 29.0834
The Last V Value is : 29.2935
The Last V Value is : 31.1134
The Last V Value is : 29.5035
The Last V Value is : 31.385
The Last V Value is : 31.4007
average final V value : 29.8655
total change time : 322.38


Threshold (S, V) : (2.5, 10)
The Last V Value is : 31.8284
The Last V Value is : 29.2393
The Last V Value is : 31.8308
The Last V Value is : 31.5008
The Last V Value is : 28.0711
The Last V Value is : 31.3073
The Last V Value is : 30.8278
The Last V Value is : 27.0393
The Last V Value is : 26.5393
The Last V Value is : 31.9799
The Last V Value is : 31.9535
The Last V Value is : 27.0372
The Last V Value is : 31.9921
The Last V Value is : 25.5603
The Last V Value is : 31.7261
The Last V Value is : 33.4777
The Last V Value is : 37.526
The Last V Value is : 29.7187
The Last V Value is : 30.0862
The Last V Value is : 27.099
The Last V Value is : 27.8647
The Last V Value is : 31.2308
The Last V Value is : 33.9895
The Last V Value is : 33.72
The Last V Value is : 27.6071
The Last V Value is : 28.3557
The Last V Value is : 30.7053
The Last V Value is : 28.14
The Last V Value is : 31.9895
The Last V Value is : 31.4959
The Last V Value is : 34.6101
The Last V Value is : 25.8717
The Last V Value is : 30.2913
The Last V Value is : 30.0422
The Last V Value is : 30.697
The Last V Value is : 33.9142
The Last V Value is : 30.8758
The Last V Value is : 27.8439
The Last V Value is : 34.2325
The Last V Value is : 33.1224
The Last V Value is : 32.62
The Last V Value is : 31.6461
The Last V Value is : 31.9823
The Last V Value is : 31.3634
The Last V Value is : 28.1735
The Last V Value is : 28.5762
The Last V Value is : 34.0973
The Last V Value is : 31.4807
The Last V Value is : 33.508
The Last V Value is : 30.8603
average final V value : 30.745
total change time : 272.64


Threshold (S, V) : (3, 10)
The Last V Value is : 31.7958
The Last V Value is : 32.6653
The Last V Value is : 33.3991
The Last V Value is : 31.8227
The Last V Value is : 30.9312
The Last V Value is : 24.9943
The Last V Value is : 30.2235
The Last V Value is : 31.0535
The Last V Value is : 24.8111
The Last V Value is : 25.4673
The Last V Value is : 35.252
The Last V Value is : 33.3418
The Last V Value is : 27.3628
The Last V Value is : 32.7644
The Last V Value is : 26.1285
The Last V Value is : 35.5259
The Last V Value is : 31.8112
The Last V Value is : 30.8545
The Last V Value is : 29.1145
The Last V Value is : 33.3814
The Last V Value is : 29.6569
The Last V Value is : 31.9024
The Last V Value is : 29.3334
The Last V Value is : 34.3065
The Last V Value is : 31.2507
The Last V Value is : 26.2222
The Last V Value is : 28.5421
The Last V Value is : 32.702
The Last V Value is : 27.6312
The Last V Value is : 27.2188
The Last V Value is : 28.7653
The Last V Value is : 26.5193
The Last V Value is : 30.3752
The Last V Value is : 32.4491
The Last V Value is : 28.5128
The Last V Value is : 32.1015
The Last V Value is : 26.2912
The Last V Value is : 32.9269
The Last V Value is : 31.4884
The Last V Value is : 32.1934
The Last V Value is : 35.1999
The Last V Value is : 27.4469
The Last V Value is : 31.6682
The Last V Value is : 28.8958
The Last V Value is : 32.5259
The Last V Value is : 32.9158
The Last V Value is : 30.1956
The Last V Value is : 32.0165
The Last V Value is : 27.2243
The Last V Value is : 29.6757
average final V value : 30.4171
total change time : 253.66


Threshold (S, V) : (3.5, 10)
The Last V Value is : 33.5234
The Last V Value is : 27.7391
The Last V Value is : 25.469
The Last V Value is : 31.7037
The Last V Value is : 30.5349
The Last V Value is : 31.8583
The Last V Value is : 30.013
The Last V Value is : 29.2304
The Last V Value is : 30.2773
The Last V Value is : 28.9948
The Last V Value is : 30.111
The Last V Value is : 24.7871
The Last V Value is : 28.1511
The Last V Value is : 27.4266
The Last V Value is : 27.3416
The Last V Value is : 31.2149
The Last V Value is : 27.4735
The Last V Value is : 35.1939
The Last V Value is : 34.324
The Last V Value is : 33.7187
The Last V Value is : 31.2363
The Last V Value is : 26.5897
The Last V Value is : 32.7908
The Last V Value is : 28.4784
The Last V Value is : 25.369
The Last V Value is : 29.1097
The Last V Value is : 31.8451
The Last V Value is : 31.0716
The Last V Value is : 33.6679
The Last V Value is : 30.1194
The Last V Value is : 27.8963
The Last V Value is : 34.9736
The Last V Value is : 30.7093
The Last V Value is : 28.6824
The Last V Value is : 30.7385
The Last V Value is : 31.2987
The Last V Value is : 32.77
The Last V Value is : 36.8223
The Last V Value is : 31.5666
The Last V Value is : 30.5652
The Last V Value is : 33.0276
The Last V Value is : 29.1282
The Last V Value is : 30.8233
The Last V Value is : 27.5628
The Last V Value is : 36.9484
The Last V Value is : 31.3529
The Last V Value is : 26.1289
The Last V Value is : 29.0468
The Last V Value is : 33.1695
The Last V Value is : 26.7029
average final V value : 30.3856
total change time : 205.2
